,id_enterprise,enterprise_name,score_avg,title,date,score,score_balanced,score_culture,score_opportunities,score_wage_advantages,score_leader_team,score_recommend,score_point_of_view,score_pdg,employee_type,employee_job,employee_city,review_intro,review_advantages,review_disadvantages,review_advises,useful_times
0,13546,Devoteam,4.1,Salaire,Thu Dec 12 2019 15:39:27 GMT-0800 (PST),3.0,3.0,3.0,3.0,3.0,3.0,Recommande,,Approuve le PDG,Ancien employé,Employé anonyme,Paris,J'ai travaillé chez Devoteam à temps plein,Salaire acceptable pour un junior,"CE n’est pas intéressante, RAS",,0
1,13546,Devoteam,4.1,Ssii respectable et correcte,Tue Dec 10 2019 11:49:54 GMT-0800 (PST),4.0,5.0,5.0,3.0,3.0,4.0,Recommande,Point de vue positif,Pas d'avis sur le PDG,Ancien employé,Employé anonyme,Paris,Je travaille chez Devoteam à temps plein depuis moins d'un an,"Entreprise à l'écoute de ses collaborateurs.
Commercial compétent.
Manager à disposition en cas de souci même personnel
Formation des collaborateurs à la demande","Salaire dans la moyenne du marché.
CE non présente",,0
2,13546,Devoteam,4.1,Catastrophe,Sat Dec 07 2019 01:37:46 GMT-0800 (PST),1.0,1.0,1.0,1.0,1.0,1.0,Ne recommande pas,Point de vue négatif,N'approuve pas le PDG,Ancien employé,Employé anonyme,Paris,J'ai travaillé chez Devoteam à temps plein,"Aucun. Ens classique, cherche uniquement à faire du chiffre.","Sexisme
Aucune évolution
Expertise peu reconnu.
Esn type marchand de viande
Equipe commerciale incompétente",Reorganisez vous,0
3,13546,Devoteam,4.1,Très déçu  par le management,Tue Dec 03 2019 11:18:58 GMT-0800 (PST),1.0,1.0,1.0,1.0,1.0,1.0,Ne recommande pas,Point de vue négatif,Pas d'avis sur le PDG,Ancien employé,Employé anonyme,Paris,J'ai travaillé chez Devoteam à temps plein moins d'un an,Il y a les avantages classiques.,J'ai travaillé pendant moins d'un an et je n'ai pas eu l'accompagnement prévu. Je déconseille fortement si vous souhaitez une entreprise avec des valeurs humaines réelles.,,0
4,13546,Devoteam,4.1,consultant full stack java/angular,Mon Dec 02 2019 06:59:14 GMT-0800 (PST),3.0,,,,,,,,,Ancien employé,Employé anonyme,Paris,Je travaille chez Devoteam à temps plein,"plusieurs telques, événement, ambiance, salaire, mission","pour le moment, je sais pas",,0
5,13546,Devoteam,4.1,Excellente entreprise,Tue Nov 26 2019 07:05:00 GMT-0800 (PST),5.0,5.0,5.0,5.0,4.0,5.0,,,,Ancien employé,Employé anonyme,Paris,Je travaille chez Devoteam à temps plein,"entreprise innovante, à l'écoute de ses collaborateurs",le CE laisse à désirer,,0
6,13546,Devoteam,4.1,Bien pour apprendre,Mon Nov 25 2019 04:20:38 GMT-0800 (PST),4.0,5.0,4.0,4.0,3.0,4.0,Recommande,Point de vue neutre,Approuve le PDG,Ancien employé,Employé anonyme,Paris,J'ai travaillé chez Devoteam à temps plein plus d'un an,"Forte croissance mais encore à taille humaine 
Entités séparées et semi indépendantes qui entraînent une plus grande proximité
Missions intéressantes même pour un junior
Nouveaux bureaux agréables","Très peu d’avantages employés
Le e learning pourrait être amélioré","Très peu d’avantages employés... nous voulons aussi être associés à la croissance
Le e learning pourrait être amélioré",0
7,13546,Devoteam,4.1,Excellent environnement de travail,Fri Nov 22 2019 05:52:38 GMT-0800 (PST),5.0,4.0,4.0,4.0,4.0,4.0,Recommande,Point de vue positif,Approuve le PDG,Ancien employé,Employé anonyme,Paris,Je travaille chez Devoteam à temps plein depuis plus d'un an,Rémunération attractive et autonomie importante,"Parfois un manque de visibilité de la part du très haut management,",,0
8,13546,Devoteam,4.1,Belle Boite,Fri Nov 22 2019 05:32:49 GMT-0800 (PST),5.0,5.0,5.0,4.0,4.0,5.0,Recommande,Point de vue positif,Approuve le PDG,Ancien employé,Employé anonyme,Paris,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,"- Diversité des missions (aussi bien géographique que contenu) 
- Orientée consultant (Par le consultant, Pour le consultant et avec le consultant)
- Orientée Transformation continue",- Organisation peu adaptée à la croissance (organique et externe),"- Organisation et objectifs alignés entre les différents acteurs
- Se libérer plus des démons notamment la régie.",0
9,13546,Devoteam,4.1,One Devoteam,Fri Nov 22 2019 05:19:35 GMT-0800 (PST),5.0,4.0,5.0,5.0,4.0,5.0,Recommande,Point de vue positif,Approuve le PDG,Ancien employé,Employé anonyme,Paris,Je travaille chez Devoteam à temps plein depuis plus de 3 ans,"Sujets innovants, soin et attention portés aux collaborateurs, ambiance de travail",aucun inconvénient. La direction est à l'écoute de ses employés.,continuez comme cela,0
