,id_enterprise,enterprise_name,job_name,city,job_description,hierarchy_level,job_type,functions,sectors
0,13546,Freelance-info.fr,Ingénieur Expert(e) Talend (H/F) / Freelance,"Lyon, FR","Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1350 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes).Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble de la région : Clermont-Ferrand, Montluçon, Lyon, Grenoble, St-Etienne, Valence, Dijon et Archamps.Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail.Dotée d’un véritable processus de recrutement, l’agence CELAD Auvergne-Rhône-Alpes accompagne ses candidat(e)s avec beaucoup d’enthousiasme et de passion au quotidien.Donc si vous souhaitez faire partie de l’aventure Celadienne, rejoignez-nous !D’ailleurs, nous poursuivons notre développement et recrutons actuellement un(e) Ingénieur Expert(e) Talend pour intervenir chez un de nos clients.Contexte : Vous interviendrez sur divers sujets liés à la gestion des EDI du Domaine Décisionnel.Vos Principales Missions Quotidiennes La convergence sur une plate-forme technique unique de l’ensemble des flux EDI existants. La mise en uvre avec nos partenaires d’EDI disponibles et l’accompagnement de ce processus de bout en bout. Cet accompagnement intègre :la communication et l’explicitation de nos spécifications sur les formats de flux et sur les modalités techniques de communication sécurisée auprès des partenaires concernésla recette des flux produits par nos partenairesl’accompagnement de la mise en production et de l’intégration sous la plate-forme de surveillance et de communication. La participation potentielle à nos projets d’extension de l’offre de service EDI afin de couvrir de nouveaux besoins d’échange de données.Environnement Technique Expertise décisionnelle Expertise Talend Connaissance des métiers de l’Assurance serait un plus apprécié mais non indispensableFormation : Bac +5 et expérience de 5 ans minimum sur un poste similaire",Premier emploi,Temps plein,"['Ingénierie', 'Technologies de l’information']","['Technologies et services de l’information', 'Logiciels informatiques', 'Recrutement ']"
1,13547,Groupe PSIH,INGÉNIEUR COMMERCIAL,"Lyon, FR","INGÉNIEUR COMMERCIAL H/FÉditeur décisionnel 100% santé, le Groupe PSIH propose une offre modulaire pour aider les décideurs hospitaliers à mieux comprendre leurs données et prendre de meilleures décisions pour leurs établissements de santé ou leur groupement hospitalier.Le Groupe PSIH C’est20 ans d’innovation et d’aventure humaineUn éditeur de référence dans le monde de l’hôpitalUne croissance continue qui traduit une forte ambition de développementDe réelles perspectives d’évolutions dans une entreprise à taille humaineUn cadre de travail agréableDes collègues épatants et passionnésMISSIONSRattaché(e) au Directeur commercial, vous travaillez en binôme avec un ou plusieurs commerciaux. Votre objectif est de développer le chiffre d’affaires de votre secteur. Vous êtes l’interlocuteur privilégié de décideurs de haut niveau (Direction Générale, DAF, DRH).Vous présentez les offres du groupe lors des rendez-vous clients ou prospects (présentiel ou à distance).Vous définissez les besoins clients et le périmètre de leurs projets décisionnels.Vous rédigez des offres commerciales et des réponses aux appels d’offre. Dans le cadre du suivi client, vous assurez la bonne transition des dossiers aux autres services .ACTIVITÉS PRINCIPALESElaborer une stratégie commerciale en phase avec celle de la Direction sur votre secteur géographique.Identifier les interlocuteurs décisionnaires sur votre portefeuille clientProspecter des établissements de santé ciblés à partir de notre outil CRMPrésenter notre offre, réaliser des propositions commerciales et négocier les contratsDéfinir les besoins, étudier les cahiers des charges et rédiger les spécifications techniques et fonctionnelles en lien avec les autres servicesAssurer une veille concurrentielle des solutions du marchéCommuniquer avec les autres services : Experts Métier, Succès clients (Direction des Services) et Intégration DécisionnelleParticiper aux évolutions techniques et fonctionnelles des logiciels en remontant les demandes et remarques des utilisateursPROFILDe formation supérieure (BAC +4/5 minimum, Ecole d’Ingénieurs ou de Commerce),Véritable ambassadeur du Groupe, votre démarche commerciale se distinguera par votre excellente culture économique et une éthique professionnelle exemplaire.Capacités d’écoute et de compréhension des problématiques organisationnelles ou fonctionnelles des clientsAisance et rigueur dans les échanges avec les décisionnaires (direction générale, direction des systèmes d’information, direction des ressources humaines, département d’information médicale, contrôle de gestion)Être force de proposition lors de l’élaboration des offresMaîtrise de techniques rédactionnelles et d’animation d’un groupeCapacité à travailler en équipe et de manière autonomeCuriosité et capacité à approfondir ses connaissances fonctionnelles et techniquesConnaissance du domaine de la santé et des logiciels utilisés par les centres hospitaliers et les cliniques appréciéeLES QUALITÉS POUR RÉUSSIRBon relationnel et service clientSens des affairesBonnes connaissances techniques Systèmes d’informationEsprit d’analyse, organisation et gestion de projetEsprit d’équipeRigueurRéactivitéÀ VOTRE ARRIVÉE, VOUS POURREZProfiter d’une période de montée en compétence pour vous permettre de comprendre notre métiers et notre entreprise et vous accompagner durant vos premiers pas.Intégrer une équipe dynamique et sympathique qui partage des valeurs communes : entre-aide, goût du travail en équipe, respect.Découvrir un cadre de travail agréable situé à 10 minute de la Gare de la Part Dieu.Échanger avec des équipes passionnées expertes dans leur domaine.La Connaissance du domaine de la santé et des logiciels utilisés par les Centres HospitaliersLe domaine du décisionnel et l’analyse d’activité hospitalièrePoste en CDI basé à Lyon 3.",Premier emploi,Temps plein,"['Ventes', 'Développement commercial ']","['Technologies et services de l’information', 'Logiciels informatiques', 'Internet']"
2,13548,CELAD,Ingénieur Expert(e) Talend F/H,"Lyon, FR","Nous poursuivons notre développement et recrutons actuellement un(e) Ingénieur Expert(e) Talend pour intervenir chez un de nos clients. Contexte : Vous interviendrez sur divers sujets liés à la gestion des EDI du Domaine Décisionnel. Vos principales missions quotidiennes :La convergence sur une plate-forme technique unique de l’ensemble des flux EDI existants.La mise en œuvre avec nos parten-- Environnement technique :Expertise décisionnelleExpertise TalendConnaissance des métiers de l’Assurance serait un plus apprécié mais non indispensable Formation : Bac +5 et expérience de 5 ans minimum sur un poste similaire -- Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1350 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes). Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble d",Premier emploi,Temps plein,"['Ingénierie', 'Technologies de l’information']","['Technologies et services de l’information', 'Logiciels informatiques', 'Recrutement ']"
3,13549,CELAD,Ingénieur Expert(e) Talend (H/F),"Lyon, FR","Description du poste Issu du monde bancaire, CELAD a été créé en 1990 à Toulouse. Nos 1350 collaborateurs(trices) interviennent aujourd’hui sur 2 pôles d’activités : les systèmes d’information et l’informatique industrielle et ceci chez plus de 250 clients (PME/PMI et grands comptes). Depuis 2006, l’entité CELAD Auvergne-Rhône-Alpes propose de nombreuses missions intéressantes et à forte valeur ajoutée sur l’ensemble de la région : Clermont-Ferrand, Montluçon, Lyon, Grenoble, St-Etienne, Valence, Dijon et Archamps. Nous sommes entièrement impliqué(e)s dans la gestion de nos collaborateurs(trices), ce qui est la base de notre développement ainsi que le reflet de la qualité de notre travail. Dotée d’un véritable processus de recrutement, l’agence CELAD Auvergne-Rhône-Alpes accompagne ses candidat(e)s avec beaucoup d’enthousiasme et de passion au quotidien. Donc si vous souhaitez faire partie de l’aventure Celadienne, rejoignez-nous ! D’ailleurs, nous poursuivons notre développement et recrutons actuellement un(e) Ingénieur Expert(e) Talend pour intervenir chez un de nos clients. Contexte : Vous interviendrez sur divers sujets liés à la gestion des EDI du Domaine Décisionnel. Vos principales missions quotidiennes : – La convergence sur une plate-forme technique unique de l’ensemble des flux EDI existants. – La mise en œuvre avec nos partenaires d’EDI disponibles et l’accompagnement de ce processus de bout en bout. Cet accompagnement intègre : la communication et l’explicitation de nos spécifications sur les formats de flux et sur les modalités techniques de communication sécurisée auprès des partenaires concernés la recette des flux produits par nos partenaires l’accompagnement de la mise en production et de l’intégration sous la plate-forme de surveillance et de communication. – La participation potentielle à nos projets d’extension de l’offre de service EDI afin de couvrir de nouveaux besoins d’échange de données. Environnement technique : – Expertise décisionnelle – Expertise Talend – Connaissance des métiers de l’Assurance serait un plus apprécié mais non indispensable Formation : Bac +5 et expérience de 5 ans minimum sur un poste similaire",Premier emploi,Temps plein,"['Ingénierie', 'Technologies de l’information']","['Technologies et services de l’information', 'Logiciels informatiques', 'Recrutement ']"
4,13550,Sopra Steria,Consultant Big Data,"Lyon, FR","Vous recherchez un projet alliant innovation et technologies 3.0 ?Ça tombe bien, rejoignez le marché Energie, sur un projet défiant les 1000 volts !Le Data vous attire ? Vous souhaitez mettre en oeuvre votre savoir-faire Data dans un environnement innovant ? Alors rejoignez les équipes du centre d'excellence Data2Value de Sopra Steria Energie allient des experts techniques et des spécialistes Data des métiers de l'énergie, secteur où la donnée est au coeur de la transformation du marché et de la transition énergétique.Votre futur environnement de travail :Forts de nos grands projets d'innovation et de transformation numérique, les collaborateurs du centre D'excellence Data accompagnent nos clients grands comptes dans le secteur de l'énergie sur des approches Data variés (BI, Big Data, Valorisation de données).Afin d'accompagner nos clients dans leurs mises en place de lac de données et d'applications Data, nous recherchons des Consultants Big Data pour participer aux Team Agile.Vous intégrez une équipe et un centre d'Excellence Data2Value et intervenez chez nos clients grands comptes en apportant votre expertise et en intégrant les enjeux de nos clients.  Vos missions :- Intervention sur les prototypes et projets Big Data;- Accompagnement du client dans des ateliers projets fonctionnels et techniques;- Conception et mise en oeuvre des solutions d'alimentation et de manipulation de données;- Développement des programmes de traitement de données sur des environnements Hadoop (Map Reduce, Spark).Ce que nous vous proposons :Nous vous permettons d'évoluer dans un environnement dynamique et convivial, sur de nombreux projets innovants et apportant des cas d'usages à forte valeur ajouté auprès des clients.Environnement technologique- Architecture Big Data : Hadoop (Hortonworks, Cloudera), Elastic search- Développement : Spark, HDFS, Hive (HQL), Java, Nifi, Sqoop- Langage : Java, Scala, Python, ScalaTitulaire d'un diplôme d'Ingénieur ou d'un Master en Informatique, vous disposez d'une expérience significative dans les nouvelles technologies ou dans le développement sur des environnements Big Data (Hadoop, Cloud Azure, AWS ).Vous maîtrisez un ou plusieurs langages, outils de programmation sur ces environnements.La connaissance d'outils de Datavisualisation est un plus.Curieux et force de proposition, vous êtes reconnu(e) pour votre écoute, votre rigueur technique, vos capacités rédactionnelles, d'analyse et de synthèse. Vos qualités relationnelles, votre adaptabilité et votre sens du service client sont également des atouts indispensables pour réussir vos missions.Vous souhaitez booster votre carrière dans un environnement challengeant ? Alors rejoignez les équipes du centre d'Excellence Data2Value Sopra Steria Energie & Utilities .Les ambitions sont fortes, la croissance rapide, venez exprimer vos talents et contribuer à des projets d'envergure !Toutes nos opportunités sont ouvertes aux personnes en situation de handicap.",Premier emploi,Temps plein,['Technologies de l’information'],['Environnement et énergies renouvelables']
5,13551,INTITEK,Data Analyst F/H,"Lyon, FR","Description Quoi de plus stimulant que de participer aux innovations du véhicule de demain, de l’avion sans pilote, de l’ingénierie optique ou de l’industrie spatiale ? Intitek for Industry développe des approches et des solutions exclusives dans les domaines du transport, de la défense, du biomédical ou de l’aéronautique. Poste Intégré(e) au sein d'une équipe de Data analystes de note client, nous recherchons un Data analyst pour une nouvelle étude. Dans le cadre de cette étude, il sera question d'analyser les données issues des outils du client de gestion de flotte afin de produire des profils de vitesse sur différents types de route. Pour cela vos missions seront d'effectuer : L'étude de Dataset de données de gestion de flotte ainsi que les variante de chaque véhicule Le reverse geocoding ou map matching afin d'ajouter des informations essentielles comme le type de route La visualisation et l'exploration des données Statistiques descriptives Dashboard L'étude des tendances et des facteurs y contribuant Profil recherché De formation informatique vous disposez de fortes compétences sur : Big Data Outils de reverse geocoding ( ex: ArcGIS, OSM ...)Environnement sous AZURE Databricks et Jupyter Python Anglais obligatoireN'hésitez plus et devenez un Happy Digital Member en nous envoyant votre candidature !",Premier emploi,Temps plein,['Technologies de l’information'],"['Technologies et services de l’information', 'Logiciels informatiques', 'Internet']"
6,13552,Adthink,OFFRE DE STAGE (H/F) : MACHINE LEARNING - DATA SCIENTIST,"Lyon, FR","L’objectif principal est de mettre en place du machine learning pour aider à la fois à la monétisation et à l'acquisition de trafic. Durant ton stage nous utiliserons les modèles que tu auras développé afin de remplacer notre méthodologie actuelle. Tu travailleras aussi sur la BI : améliorer nos indicateurs clés de croissance. Formation souhaitée: Bac + ⅘ ecole d’ingénieur ou formation universitaire. Tu as déjà une expérience en machine learning (ou tu as vraiment très envie de devenir un/e crack dans ce domaine). Tu es très à l’aise avec les chiffres (proba, stat, modélisation, etc…). La connaissance de Python, PHP tenserflow , SQL, R est un plus Modalités Ce stage est à pourvoir à Tassin-la-Demi-Lune (Lyon Ouest) pour une durée de 6 mois. Gratification de stage à établir en fonction du profil. Tickets restaurant et prise en charge des tes frais de transport à hauteur de 50 %. Pour nous rejoindre, envoi ton CV et LM à l’adresse recrutement@adthink.com, à l’attention de Sophie Marois, chargée de missions Ressources Humaines. startup / start-up / start up / machinelearning / machine-learning / machine learning / data scientist / data science / developpeur / developer / stagiaire / KPI / data mining / Lyon",Non pertinent,Temps plein,['Autre'],"['Marketing et publicité', 'Internet', 'Recrutement ']"
7,13553,Groupe SII,Développeur Big Data (H/F),"Lyon, FR","Description Du PosteVous êtes un(e) Développeur Big data prêt(e) à travailler dans un environnement agile et motivant ?Ce poste est pour vous !Passionné(e) par les écosystèmes de données, vous aimez comprendre les enjeux et besoins de l’entreprise afin de proposer des solutions adaptées et fiables.Vous connaissez le langage de programmation Scala à travers une expérience professionnelle, un stage, un projet scolaire.Vous avez également travaillé sur des technos Big Data (Spark, Hadoop; Kafka,…).ProfilVotre profil pour cette mission:Parmi vos tâches vous pourrez être amené(e) à : Analyser et formaliser les besoins de vos clients internesCollecter, consolider et modéliser de gros volumes de donnéesDévelopper et automatiser des flux d’alimentation du type DataLakeEtre garant de la scalabilité, sécurité, stabilité et disponibilité des donnéesAu-delà de ces compétences, vous démontrerez des qualités relationnelles et rédactionnelles satisfaisantes, ainsi qu’une forte appétence pour le travail en mode Agile.Alors n’hésitez plus, postulez !#Expertise – #Innovation – #Fun, voici le mix gagnant que nous vous proposons !Suivez nous sur les réseaux sociaux : Facebook – LinkedinEt Twitter@sii_rhonealpesLe Groupe SII est au cœur de l’innovation au service de grands comptes dans des secteurs d’ingénierie variés. SII est fier de compter aujourd’hui 10 000 experts à travers 80 implantations dans le monde.Animés de cette même passion pour la technologie et l’innovation, les collaborateurs SII peuvent exercer leur métier dans un cadre bienveillant, de proximité avec une dose de fun. Ils intègrent le mouvement #fungenieur dans lequel la créativité et l’esprit d’équipe sont mis à l’honneur.Au palmarès Great place To Work 2019, le Groupe SII a également été labélisé Happy Candidate et Meilleur Employeur 2019 dans la catégorie High Tech par le magazine Capital. Il est signataire de la Charte de la diversité en entreprise. C’est une société handi-accueillante.Suivez-nous sur les réseaux sociaux : Facebook, Linkedin, Viadeo ou Twitter !CompétencesScalaBig DataRéférence De L’annonceBD/1119Expérience2-5 ansQualificationConsultantRémunérationselon profilPOSTULER",Premier emploi,Temps plein,"['Ingénierie', 'Technologies de l’information']","['Technologies et services de l’information', 'Logiciels informatiques', 'Internet']"
8,13554,Feu Vert,DATA ANALYST JUNIOR (H/F),"Écully, FR","Bienvenue chez Feu Vert ! Nous possédons plus de 40 ans d'expérience dans le monde de l'équipement et de l'entretien automobile.Aujourd'hui leader européen avec près de 450 centres automobile en Europe dont plus de 350 en France, Feu Vert emploie plus de 3000 collaborateurs sur l'ensemble du territoire français, et vous propose de réelles opportunités en termes de carrière et de développement des compétences.Notre site Feuvert.fr compte à ce jour 1, 4 millions de visites uniques par mois. Feu Vert est présent sur plusieurs milliers de contenus graphiques (publicité, réseaux sociaux...) et compte accélérer son développement digital en 2020.Au sein de la Direction Digitale, vous contribuez à améliorer la connaissance client et le parcours des utilisateurs.Vos missions principales seront les suivantes :- L'analyse des comportements clients : extraction et étude de données, réalisation de rapports statistiques- La veille de la qualité des bases de données marketing (cleaning, dédoublonnage, actualisation…)- En collaboration avec la DSI vous mettrez en place des projets data, base de données clients, IT CRM- En collaboration avec l'équipe CRM vous ciblez les clients, établissez des plans de contact et suivez les performances Description du profil : Vous êtes issu d'une formation en informatique, en statistiques ou en mathématiques et vous disposez d'un niveau Bac +5.De plus, vous justifiez d'une expérience de 6 à 12 mois sur ces mêmes missions.Une maîtrise de SQL, Excel et Dataviz (Tableau) sont nécessaires.Vous êtes bien organisé, faîtes preuve d'un bon esprit d'analyse et d'une grande capacité à travailler en équipe.Si vous vous reconnaissez dans ce profil, alors vous êtes peut être notre futur(e) Data Analyst CRM Junior !",Confirmé,Temps plein,['Technologies de l’information'],"['Industrie automobile', 'Internet', 'Commerce de détail']"
9,13555,Capgemini,Lead Python Big Data H/F,"Lyon Area, France","Toujours à la pointe de l’innovation, Capgemini aide ses clients à saisir l’ensemble des opportunités que présentent le cloud, le digital et les plateformes.   Fort de 50 ans d’expérience, nous accompagnons nos clients dans la réalisation de leurs ambitions, de la définition de leur stratégie à la mise en œuvre de leurs opérations. Un vaste terrain de jeu pour tout technophile à la recherche de challenges et d’émulation intellectuelle.      Nous recherchons pour une intégration au premier trimestre 2020 un Tech Lead Python /Big Data H/F qui prendra en charge l’encadrement d’une équipe de développeurs (7 personnes), et participera aussi aux développements en support à son équipe. Cette personne sera garante de la mise en place des process DevSecOps et DataOps      Cap ou pas Cap ? : D’innover et d’intégrer une équipe qui délivre les plateformes digitales parmi les plus innovantes, d'intervenir sur des projets de développement dans des environnements où l'expérience utilisateur est au cœur des enjeux sur des sujets variés, D’assurer l'analyse fonctionnelle et technique en comprenant les besoins des clients, De concevoir, de développer, de livrer, de tester et documenter des applications, D’assurer un suivi des réalisations qui vous sont confiées, De réaliser la veille technologique, D’être force de proposition, Et de vous épanouir : L'important pour nous est de comprendre comment votre passion, votre envie d'élargir vos compétences et de partager vos savoirs, pourront vous permettre de grandir au sein d'une aventure humaine unique.    ",Manager,Temps plein,['Technologies de l’information'],['Technologies et services de l’information']
