,id_enterprise,enterprise_name,number_reviews,number_jobs,number_employees,number_interviews,number_advantages,number_photos,web_link,city,size,founding_date,enterprise_type,sector,incomes,presentation,number_distinctions,distinctions,number_prizes,prizes
0,13546,Devoteam, 512, 344, 476, 113, 206, 19,http://https://fr.devoteamcareers.com/fr/,Levallois-Perret,De 1 001 à 5 000 employés, 1995, Entreprise cotée en bourse, Services informatiques, Entre 100 et 500 millions € (EUR) par an,"Devoteam est un acteur majeur du conseil en technologies innovantes et management pour les entreprises.Présent dans 18 pays d’Europe et du Moyen-Orient et fort de plus de 20 ans d’expérience, nous mettons la ‘Technologie au service de l’Homme’ afin de créer de la valeur pour nos clients, nos partenaires, et nos employés.Devoteam réalisera en 2018 un chiffre d’affaires annuel estimé de près de 645 M€.Chez Devoteam, nous sommes “Digital Transformakers”.",1,"[{'name': 'Meilleurs Employeurs', 'year': '2019', 'position': '19'}]",5,"['Most Attractive Employers, Universum, 2016', 'Happy Trainees, Meilleures-Entreprises, 2016', 'Happy Trainees, Choose My Company, 2017', 'Happy at Work, Choose My Company, 2017', 'Most Attractive Employers, Universum, 2017']"
1,13550,Atos," 5,6k"," 3,3k"," 5,6k", 908," 1,8k", 85,http://www.atos.net,Bezons,Plus de 10 000 employés, 1919, Entreprise cotée en bourse (ATO) , Services informatiques, Entre 5 et 10 milliards € (EUR) par an,"Atos est un leader international de la transformation digitale avec environ 100 000 collaborateurs dans 72 pays et un chiffre d’affaires annuel de l’ordre 12 milliards d’euros.Numéro un européen du Big Data, de la Cybersécurité, des supercalculateurs et de l’environnement de travail connecté, le Groupe fournit des services Cloud, solutions d’infrastructure et gestion de données, applications et plateformes métiers, ainsi que des services transactionnels par l’intermédiaire de Worldline, le leader européen des services de paiement.Partenaire informatique mondial des Jeux Olympiques et Paralympiques, le Groupe exerce ses activités sous les marques Atos, Atos Codex, Atos Consulting, Atos Worldgrid, Bull, Canopy, Unify et Worldline. Atos SE (Societas Europea) est une entreprise cotée sur Euronext Paris et fait partie de l’indice CAC 40.",0,[],5,"['Dow Jones Sustainabilty Index No. 1 in digital sector, Dow Jones Sustainability Index, 2019', 'Happy Trainees, choosemycompany, 2019', '2017 Dell EMC Global Alliances Partner of the Year Award, Dell EMC, 2017', '2017 Dell EMC Global Cloud Service Provider Partner of the Year Award, Dell EMC, 2017', 'BEST EVOLUTION OF COMPANY BENEFITS AT THE ENGAGEMENT EXCELLENCE AWARDS 2016, Engagement Excellence Awards, 2016']"
2,13551,Atos, 56, 35, 29, 7, 5, 1,http://www.atos.com,Sesto Calende (Italie),Entre 201 et 500 employés, Inconnu, Entreprise non cotée en bourse, Fabrication d'appareils électriques et électroniques, Entre 50 et 100 millions € (EUR) par an,,0,[],0,[]
3,13552,Atos Consulting, 24, --, 24, 3, 3, --,http://www.ctp.com,Nyon (Suisse),De 1 001 à 5 000 employés, Inconnu, Entreprise cotée en bourse, Inconnu, Ne sait pas / non applicable par an,,0,[],0,[]
4,13553,Atos-Syntel," 3,3k", 88," 4,4k", 858, 686, 71,http://www.atos-syntel.net,"Troy, MI (États-Unis)",Plus de 10 000 employés, 1980, Filiale ou unité d'exploitation, Services informatiques, Entre 1 et 2 milliards € (EUR) par an,,0,[],3,"['100 Fastest Growing Companies, Fortune, 2009', ""America's 200 Best Small Companies, Forbes, 2009"", ""America's 200 Best Small Companies, Forbes, 2008""]"
5,13554,Atos Medical, 37, 23, 33, 6, 13, --,http://www.atosmedical.com,"New Berlin, WI (États-Unis)",De 51 à 200 employés, 2000, Filiale ou unité d'exploitation, Fabrication de produits de soins de santé, Entre 10 et 25 millions € (EUR) par an,,0,[],0,[]
6,13558,Dassault Systemes," 1,2k"," 1,7k"," 1,5k", 311, 566, 38,http://www.3ds.com,Vélizy,Plus de 10 000 employés, 1981, Entreprise cotée en bourse (DASTY) , Matériel et logiciels informatiques, Entre 2 et 5 milliards € (EUR) par an,"Tout est possible… grâce aux univers virtuels 3DEXPERIENCE !Avec plus de 230 000 clients dans 11 secteurs industriels, du high-tech aux sciences de la vie, de la mode aux transports, Dassault Systèmes accompagne les entreprises et les créateurs à travers le monde pour imaginer les innovations durables d’aujourd’hui et de demain.Pour plus d'informations, visitez www.3ds.com",2,"[{'name': 'Meilleurs Employeurs', 'year': '2019', 'position': '15'}, {'name': 'Meilleurs Employeurs', 'year': '2017', 'position': '6'}, {'name': 'Le Top des PDG', 'year': '2018', 'position': '10'}]",17,"[""World's Most Innovative Companies, Forbes, 2013"", ""Montreal's Top Employers, Montreal Gazette, 2014"", 'Global 100 Most Sustainable Corporations List, Corporate Knights, 2018, 2018', ""The World's Most Innovative Companies, Forbes, 2018, 2018"", ""France's Most Attractive Employers, Universum, 2018"", 'HappyTrainees Label, Meilleures-Entreprises, 2018', 'Global 100 Most Sustainable Corporations List, Corporate Knights, 2017', ""Montreal's Top Employers, Canada's Top 100 Employers, 2017"", ""World's Most Innovative Companies, Forbes, 2016"", ""The World's Most Innovative Companies, Forbes, 2014"", 'Global 100 Most Sustainable Corporations, Corporation Knights Capital, 2014', 'France’s IDEAL Employers(IT Undergrads), Universum, 2013', 'France’s IDEAL Employers(Business Undergrads), Universum, 2013', 'Global 100 Most Sustainable Corporations, Corporate Knights, 2013', 'Global 100 Most Sustainable Corporations, Corporate Knights, 2012', 'Global 100 Most Sustainable Corporations List, Corporate Knights, 2010', 'Top Places to Work Globe 100, Boston Globe, 2009']"
7,13559,SolidWorks, 86, --, 126, 15, 17, --,http://www.solidworks.com,"Waltham, MA (États-Unis)",De 501 à 1 000 employés, 1993, Filiale ou unité d'exploitation, Matériel et logiciels informatiques, Entre 50 et 100 millions € (EUR) par an,,0,[],0,[]
8,13562,2S2I Solutions & Services, 4, 263, 3, 1, --, 4,http://www.2s2isolutions.com,Montpellier,De 51 à 200 employés, 2007, Autre organisation, Services informatiques, Entre 5 et 10 millions € (EUR) par an,"2S2I est une ESN à taille humaine avec un management de proximité, une culture et des valeurs qui inscrivent nos collaborateurs au cœur de son développement. Avec le renouveau de l’entreprise en 2016, 2S2I continue sa croissance et, à tous les niveaux, nous avons à cœur le bien-être de nos collaborateurs et la réussite de nos projets.Grâce à nos consultants et experts, répartis sur toute la France, nous offrons, depuis plus de 10 ans, à nos clients, grands comptes à dimension nationale ou internationale, des services d’excellence dans le secteur du numérique (conseil métier/MOA, ingénierie applicative, gestion des infrastructures et management de l’information/data intelligence).",0,[],0,[]
9,13563,CEGID, 106, 198, 121, 10, 58, 22,http://www.cegid.com,Lyon,De 1 001 à 5 000 employés, 1983, Entreprise non cotée en bourse, Solutions logicielles et réseau d'entreprise, Entre 100 et 500 millions € (EUR) par an,"Acteur leader de la transformation digitale des entreprises et du secteur public, Cegid améliore la performance de ses clients grâce à ses logiciels de gestion et services cloud.Le groupe Cegid propose des solutions dans les domaines de la gestion financière, de la fiscalité et des ressources humaines, ainsi que des applications métiers destinées aux secteurs du retail, de l’industrie, du négoce, des services, de la profession comptable et du secteur public.Portées par une politique d’innovation ambitieuse, les offres Cegid intègrent les nouveaux usages autour du cloud, de la mobilité, de l’analyse de données, de la dématérialisation, et des plateformes métiers collaboratives.",0,[],2,"['Major Player dans le MarketScape, IDC, 2019', 'Potential Challenger, Fosway 9-Grid™ for Learning Systems., 2019']"
